date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:10	10058/10058	---M--	200	added ('OK')	text/html	etag:%22274a-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/29.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/29.html	(from https://www.mykhana.in/)
15:50:11	10798/10798	---M--	200	added ('OK')	text/html	etag:%222a2e-610b69600efc0%22	https://www.mykhana.in/images/brand/clients/30.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/30.html	(from https://www.mykhana.in/)
15:50:12	10236/10236	---M--	200	added ('OK')	text/html	etag:%2227fc-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/31.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/31.html	(from https://www.mykhana.in/)
15:50:13	10374/10374	---M--	200	added ('OK')	text/html	etag:%222886-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/32.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/32.html	(from https://www.mykhana.in/)
15:50:14	11340/11340	---M--	200	added ('OK')	text/html	etag:%222c4c-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/33.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/33.html	(from https://www.mykhana.in/)
15:50:15	10262/10262	---M--	200	added ('OK')	text/html	etag:%222816-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/34.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/34.html	(from https://www.mykhana.in/)
15:50:16	7832/7832	---M--	200	added ('OK')	text/html	etag:%221e98-610b695a56240%22	https://www.mykhana.in/images/people/no-additives.webp	/home/sid_221/websites/catering/www.mykhana.in/images/people/no-additives.html	(from https://www.mykhana.in/)
15:50:17	7530/7530	---M--	200	added ('OK')	text/html	etag:%221d6a-610b695a56240%22	https://www.mykhana.in/images/people/icon-no-chemicals.webp	/home/sid_221/websites/catering/www.mykhana.in/images/people/icon-no-chemicals.html	(from https://www.mykhana.in/)
15:50:18	3588/3588	---M--	200	added ('OK')	text/html	etag:%22e04-610b695a56240%22	https://www.mykhana.in/images/people/icon-halaal.webp	/home/sid_221/websites/catering/www.mykhana.in/images/people/icon-halaal.html	(from https://www.mykhana.in/)
15:50:19	3202/3202	---M--	200	added ('OK')	text/html	etag:%22c82-610b695a56240%22	https://www.mykhana.in/images/people/icon-fssai.webp	/home/sid_221/websites/catering/www.mykhana.in/images/people/icon-fssai.html	(from https://www.mykhana.in/)
15:50:20	4687/4687	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:20%20GMT	https://www.mykhana.in/cdn-cgi/l/email-protection	/home/sid_221/websites/catering/www.mykhana.in/cdn-cgi/l/email-protection.html	(from https://www.mykhana.in/)
15:50:22	51517/51517	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:21%20GMT	https://www.mykhana.in/best-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/best-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:23	57118/57118	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:22%20GMT	https://www.mykhana.in/business-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/business-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:24	89406/89406	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:23%20GMT	https://www.mykhana.in/meal-box-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/meal-box-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:25	35102/35102	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:24%20GMT	https://www.mykhana.in/faq	/home/sid_221/websites/catering/www.mykhana.in/faq.html	(from https://www.mykhana.in/)
15:50:25	98569/98569	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:25%20GMT	https://www.mykhana.in/catering-services-in-koramangala	/home/sid_221/websites/catering/www.mykhana.in/catering-services-in-koramangala.html	(from https://www.mykhana.in/)
15:50:26	98585/98585	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:26%20GMT	https://www.mykhana.in/catering-services-in-electronic-city	/home/sid_221/websites/catering/www.mykhana.in/catering-services-in-electronic-city.html	(from https://www.mykhana.in/)
15:50:28	98600/98600	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:27%20GMT	https://www.mykhana.in/catering-services-in-ballandur	/home/sid_221/websites/catering/www.mykhana.in/catering-services-in-ballandur.html	(from https://www.mykhana.in/)
15:50:29	98573/98573	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:28%20GMT	https://www.mykhana.in/catering-services-in-marathahalli	/home/sid_221/websites/catering/www.mykhana.in/catering-services-in-marathahalli.html	(from https://www.mykhana.in/)
15:50:29	98565/98565	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:29%20GMT	https://www.mykhana.in/catering-services-in-whitefield	/home/sid_221/websites/catering/www.mykhana.in/catering-services-in-whitefield.html	(from https://www.mykhana.in/)
15:50:31	98565/98565	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:30%20GMT	https://www.mykhana.in/catering-services-in-hsr-layout	/home/sid_221/websites/catering/www.mykhana.in/catering-services-in-hsr-layout.html	(from https://www.mykhana.in/)
15:50:32	98565/98565	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:31%20GMT	https://www.mykhana.in/catering-services-in-brookfield	/home/sid_221/websites/catering/www.mykhana.in/catering-services-in-brookfield.html	(from https://www.mykhana.in/)
15:50:33	98565/98565	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:32%20GMT	https://www.mykhana.in/catering-services-near-kr-puram	/home/sid_221/websites/catering/www.mykhana.in/catering-services-near-kr-puram.html	(from https://www.mykhana.in/)
15:50:33	49338/49338	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:33%20GMT	https://www.mykhana.in/cocktail-party-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/cocktail-party-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:35	47847/47847	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:34%20GMT	https://www.mykhana.in/baby-shower-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/baby-shower-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:36	47857/47857	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:35%20GMT	https://www.mykhana.in/birthday-party-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/birthday-party-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:37	48027/48027	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:36%20GMT	https://www.mykhana.in/anniversary-party-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/anniversary-party-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:38	47837/47837	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:37%20GMT	https://www.mykhana.in/north-indian-caterers-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/north-indian-caterers-in-bangalore.html	(from https://www.mykhana.in/)
15:50:39	47838/47838	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:38%20GMT	https://www.mykhana.in/south-indian-catering-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/south-indian-catering-in-bangalore.html	(from https://www.mykhana.in/)
